Successfully imported torchao. FP8 training enabled.
/root/gptspeedrun/./train_gpt2_4090_90min_3_25loss.py:316: UserWarning: The given buffer is not writable, and PyTorch does not support non-writable tensors. This means you can write to the underlying (supposedly non-writable) buffer using the tensor. You may want to copy the buffer to protect its data or make it writable before converting it to a tensor. This type of warning will be suppressed for the rest of this program. (Triggered internally at /pytorch/torch/csrc/utils/tensor_new.cpp:1581.)
  return torch.frombuffer(f.read(), dtype=torch.uint16)[256*2:]
Converting Linear layers to Float8...
Run ID: d31b0c18-c90a-422a-be83-b262e70757f4
Step	Loss	Time(ms)	kt/s	Window	ETA(m)	Malbo Loss
421	3.859	    3274	160.2	512	72.6	3.828
422	3.547	    3270	160.3	512	72.4	3.613
423	3.562	    3275	160.1	512	72.5	3.632
424	3.625	    3272	160.2	512	72.4	3.688
425	3.844	    3269	160.4	512	72.2	3.915
426	3.688	    3271	160.3	512	72.2	3.747
427	3.594	    3270	160.3	512	72.2	3.657
428	3.656	    3269	160.4	512	72.1	3.712
429	3.828	    3273	160.2	512	72.1	3.896
430	3.188	    3280	159.9	512	72.2	3.248
431	3.578	    3281	159.8	512	72.2	3.636
432	3.562	    3264	160.6	512	71.8	3.623
433	3.609	    3267	160.5	512	71.8	3.676
434	3.469	    3274	160.2	512	71.9	3.539
435	3.641	    3271	160.3	512	71.7	3.686
436	3.328	    3275	160.1	512	71.8	3.394
437	3.531	    3265	160.6	512	71.5	3.584
438	3.594	    3266	160.5	512	71.5	3.652
439	3.688	    3267	160.5	512	71.4	3.750
440	3.625	    3273	160.2	512	71.5	3.686
441	3.594	    3271	160.3	512	71.4	3.653
442	3.609	    3265	160.6	512	71.2	3.635
443	3.578	    3272	160.2	512	71.3	3.633
444	3.547	    3263	160.7	512	71.1	3.611
445	3.641	    3270	160.3	512	71.2	3.705
446	3.688	    3271	160.3	512	71.1	3.744
447	3.609	    3272	160.2	512	71.1	3.669
448	3.625	    3270	160.3	512	71.0	3.679
449	3.641	    3274	160.1	512	71.0	3.712
450	3.531	    3271	160.3	512	70.9	3.604
451	3.547	    3270	160.3	512	70.8	3.618
452	3.719	    3270	160.3	512	70.8	3.780
453	3.641	    3274	160.1	512	70.8	3.698
454	3.594	    3268	160.4	512	70.6	3.589
455	3.438	    3274	160.2	512	70.7	3.494
456	3.516	    3275	160.1	512	70.7	3.573
457	3.594	    3273	160.2	512	70.6	3.663
458	3.484	    3274	160.1	512	70.6	3.559
459	3.438	    3273	160.2	512	70.5	3.492
460	3.547	    3284	159.6	512	70.7	3.591
461	3.391	    3270	160.3	512	70.3	3.441
462	3.531	    3270	160.3	512	70.3	3.591
463	3.438	    3273	160.2	512	70.3	3.495
464	3.547	    3277	160.0	512	70.3	3.612
465	3.656	    3280	159.8	512	70.3	3.726
466	3.453	    3265	160.6	512	69.9	3.518
467	3.672	    3273	160.2	512	70.0	3.732
468	3.656	    3271	160.3	512	69.9	3.728
469	3.625	    3276	160.0	512	70.0	3.687
470	3.547	    3271	160.3	512	69.8	3.616
471	3.656	    3263	160.7	512	69.6	3.715
472	3.656	    3272	160.2	512	69.7	3.726
473	3.672	    3270	160.3	512	69.7	3.740
474	3.594	    3278	159.9	512	69.8	3.659
475	3.641	    3274	160.2	512	69.6	3.707
476	3.531	    3269	160.4	512	69.5	3.574
477	3.578	    3276	160.0	512	69.6	3.645
478	3.734	    3269	160.4	512	69.3	3.803
479	3.547	    3268	160.5	512	69.3	3.615
480	3.469	    3266	160.5	512	69.2	3.530
481	3.438	    3265	160.6	512	69.1	3.491
482	3.531	    3263	160.7	512	69.0	3.590
483	3.625	    3272	160.2	512	69.1	3.685
484	3.656	    3273	160.2	512	69.1	3.706
485	3.641	    3266	160.6	512	68.9	3.682
486	3.562	    3268	160.4	512	68.9	3.629
487	3.609	    3269	160.4	512	68.9	3.672
488	3.750	    3270	160.3	512	68.8	3.808
489	3.609	    3279	159.9	512	69.0	3.660
490	3.609	    3275	160.1	512	68.8	3.680
491	3.703	    3275	160.1	512	68.8	3.766
492	3.375	    3268	160.4	512	68.6	3.433
493	3.516	    3265	160.6	512	68.4	3.574
494	3.438	    3271	160.3	512	68.5	3.506
495	3.484	    3273	160.2	512	68.5	3.548
496	3.484	    3266	160.5	512	68.3	3.557
497	3.406	    3275	160.1	512	68.5	3.449
498	3.531	    3270	160.4	512	68.3	3.603
499	3.531	    3270	160.3	512	68.2	3.589
500	3.734	    3267	160.5	512	68.1	3.787
501	3.516	    3265	160.6	512	68.0	3.581
502	3.438	    3274	160.1	512	68.2	3.500
503	3.469	    3275	160.1	512	68.1	3.539
504	3.359	    3273	160.2	512	68.0	3.395
505	3.500	    3272	160.3	512	67.9	3.571
506	3.406	    3271	160.3	512	67.9	3.476
507	3.531	    3282	159.8	512	68.0	3.595
508	3.453	    3272	160.3	512	67.8	3.511
509	3.422	    3265	160.6	512	67.6	3.487
510	3.500	    3275	160.1	512	67.7	3.563
511	3.359	    3278	160.0	512	67.7	3.423
512	3.406	    3269	160.4	512	67.5	3.472
513	3.531	    3268	160.4	512	67.4	3.594
514	3.656	    3274	160.1	512	67.5	3.713
515	3.594	    3275	160.1	512	67.5	3.649
516	3.594	    3277	160.0	512	67.5	3.651
517	3.594	    3272	160.2	512	67.3	3.628
518	3.641	    3268	160.4	512	67.2	3.697
519	3.656	    3278	159.9	512	67.3	3.709
520	3.719	    3278	160.0	512	67.2	3.784
521	3.719	    3268	160.4	512	67.0	3.777
522	3.672	    3277	160.0	512	67.1	3.729
523	3.500	    3277	160.0	512	67.1	3.572
524	3.469	    3274	160.1	512	67.0	3.529
525	3.500	    3262	160.7	512	66.7	3.527
526	3.641	    3268	160.4	512	66.7	3.679
527	3.547	    3267	160.5	512	66.6	3.609
528	3.406	    3261	160.8	512	66.5	3.471
529	3.438	    3271	160.3	512	66.6	3.504
